Geographic Area Name,Estimate!!Total:,Margin of Error!!Total:,Estimate!!Total:!!Income in the past 12 months below poverty level:,Margin of Error!!Total:!!Income in the past 12 months below poverty level:,Estimate!!Total:!!Income in the past 12 months below poverty level:!!Male:,Margin of Error!!Total:!!Income in the past 12 months below poverty level:!!Male:,Estimate!!Total:!!Income in the past 12 months below poverty level:!!Male:!!Less than high school graduate,Margin of Error!!Total:!!Income in the past 12 months below poverty level:!!Male:!!Less than high school graduate,Estimate!!Total:!!Income in the past 12 months below poverty level:!!Male:!!High school graduate (includes equivalency),Margin of Error!!Total:!!Income in the past 12 months below poverty level:!!Male:!!High school graduate (includes equivalency),"Estimate!!Total:!!Income in the past 12 months below poverty level:!!Male:!!Some college, associate's degree","Margin of Error!!Total:!!Income in the past 12 months below poverty level:!!Male:!!Some college, associate's degree",Estimate!!Total:!!Income in the past 12 months below poverty level:!!Male:!!Bachelor's degree or higher,Margin of Error!!Total:!!Income in the past 12 months below poverty level:!!Male:!!Bachelor's degree or higher,Estimate!!Total:!!Income in the past 12 months below poverty level:!!Female:,Margin of Error!!Total:!!Income in the past 12 months below poverty level:!!Female:,Estimate!!Total:!!Income in the past 12 months below poverty level:!!Female:!!Less than high school graduate,Margin of Error!!Total:!!Income in the past 12 months below poverty level:!!Female:!!Less than high school graduate,Estimate!!Total:!!Income in the past 12 months below poverty level:!!Female:!!High school graduate (includes equivalency),Margin of Error!!Total:!!Income in the past 12 months below poverty level:!!Female:!!High school graduate (includes equivalency),"Estimate!!Total:!!Income in the past 12 months below poverty level:!!Female:!!Some college, associate's degree","Margin of Error!!Total:!!Income in the past 12 months below poverty level:!!Female:!!Some college, associate's degree",Estimate!!Total:!!Income in the past 12 months below poverty level:!!Female:!!Bachelor's degree or higher,Margin of Error!!Total:!!Income in the past 12 months below poverty level:!!Female:!!Bachelor's degree or higher,Estimate!!Total:!!Income in the past 12 months at or above poverty level:,Margin of Error!!Total:!!Income in the past 12 months at or above poverty level:,Estimate!!Total:!!Income in the past 12 months at or above poverty level:!!Male:,Margin of Error!!Total:!!Income in the past 12 months at or above poverty level:!!Male:,Estimate!!Total:!!Income in the past 12 months at or above poverty level:!!Male:!!Less than high school graduate,Margin of Error!!Total:!!Income in the past 12 months at or above poverty level:!!Male:!!Less than high school graduate,Estimate!!Total:!!Income in the past 12 months at or above poverty level:!!Male:!!High school graduate (includes equivalency),Margin of Error!!Total:!!Income in the past 12 months at or above poverty level:!!Male:!!High school graduate (includes equivalency),"Estimate!!Total:!!Income in the past 12 months at or above poverty level:!!Male:!!Some college, associate's degree","Margin of Error!!Total:!!Income in the past 12 months at or above poverty level:!!Male:!!Some college, associate's degree",Estimate!!Total:!!Income in the past 12 months at or above poverty level:!!Male:!!Bachelor's degree or higher,Margin of Error!!Total:!!Income in the past 12 months at or above poverty level:!!Male:!!Bachelor's degree or higher,Estimate!!Total:!!Income in the past 12 months at or above poverty level:!!Female:,Margin of Error!!Total:!!Income in the past 12 months at or above poverty level:!!Female:,Estimate!!Total:!!Income in the past 12 months at or above poverty level:!!Female:!!Less than high school graduate,Margin of Error!!Total:!!Income in the past 12 months at or above poverty level:!!Female:!!Less than high school graduate,Estimate!!Total:!!Income in the past 12 months at or above poverty level:!!Female:!!High school graduate (includes equivalency),Margin of Error!!Total:!!Income in the past 12 months at or above poverty level:!!Female:!!High school graduate (includes equivalency),"Estimate!!Total:!!Income in the past 12 months at or above poverty level:!!Female:!!Some college, associate's degree","Margin of Error!!Total:!!Income in the past 12 months at or above poverty level:!!Female:!!Some college, associate's degree",Estimate!!Total:!!Income in the past 12 months at or above poverty level:!!Female:!!Bachelor's degree or higher,Margin of Error!!Total:!!Income in the past 12 months at or above poverty level:!!Female:!!Bachelor's degree or higher,
Oregon,3008678,3442,321873,10626,140369,6121,28009,2846,46514,3595,44161,3612,21685,2891,181504,7174,31787,3077,47288,3719,67495,4447,34934,2936,2686805,11555,1340922,7143,108132,5377,310751,7782,421462,10115,500577,9709,1345883,7741,83733,5118,268209,8450,448632,10100,545309,8896,
Pennsylvania,8988578,5357,910714,21253,367042,12570,74588,5276,161716,7643,72518,5765,58220,5020,543672,13055,97574,6344,232031,9592,131616,8040,82451,5095,8077864,20972,3990513,12361,273301,9272,1316523,16555,947733,14741,1452956,17198,4087351,13865,242643,8509,1212074,19554,1029832,14629,1602802,16912,
Rhode Island,765882,1696,76281,6445,31353,3960,8580,1988,12858,2719,5526,1696,4389,1183,44928,4342,10367,1827,16322,3134,11666,2440,6573,1418,689601,6619,338431,4244,27377,3161,78397,4738,90454,5011,142203,6735,351170,4529,24686,2888,78843,4867,94027,4996,153614,5791,
South Carolina,3612499,6350,417709,12752,167751,6939,41116,4027,66661,5364,37351,4051,22623,3365,249958,8841,54528,4518,90401,5186,74351,5892,30678,2842,3194790,14191,1537074,8171,130711,7312,432459,11792,446656,12898,527248,10436,1657716,9619,107789,5563,403073,9388,537922,12046,608932,12069,
South Dakota,591545,2151,59917,3716,27220,2145,6098,1087,11340,1391,6505,1001,3277,1015,32697,2677,4832,1028,13219,1796,9532,1445,5114,1333,531628,3894,271195,3222,16218,2135,81356,3483,89705,3767,83916,3853,260433,3131,11799,1585,64710,3318,86425,3367,97499,3424,
Tennessee,4796297,6265,538210,16548,218883,8605,56571,4608,91824,6094,44973,4243,25515,2914,319327,10014,68934,5397,131006,7727,84974,5484,34413,3211,4258087,17444,2080274,9135,179268,8231,667593,12109,562238,12245,671175,12477,2177813,10909,144451,7607,597493,13472,660196,12269,775673,13393,
Texas,19260107,12715,2154261,35845,869239,20216,262871,11448,277049,11221,201631,9555,127688,8157,1285022,22967,359449,13931,412700,13273,335087,11314,177786,7997,17105846,39353,8559067,22330,1071699,22855,2055630,27770,2375233,27179,3056505,31470,8546779,25710,924892,18373,1859211,30637,2495365,31732,3267311,32646,
Utah,2026367,3412,132061,6593,55993,4071,7557,1614,17925,2289,18488,2381,12023,1897,76068,4020,11268,1930,23745,2347,25375,2780,15680,2160,1894306,7126,959409,4707,69819,4605,208997,6482,288566,7472,392027,7772,934897,4451,50488,4031,192644,6354,338164,9391,353601,7680,
Vermont,462730,1634,42006,3588,18573,2283,3565,827,5832,1128,5758,1361,3418,1038,23433,2198,3487,933,9004,1349,5888,949,5054,1126,420724,3948,209178,2778,9336,1238,60162,3119,50639,2692,89041,3543,211546,2332,5766,1215,44713,2595,52702,3632,108365,4283,
Virginia,5882713,8171,516217,16018,206457,9350,49513,4403,74032,5324,48806,4687,34106,2819,309760,9945,64423,5238,106034,5831,88879,6437,50424,4169,5366496,15819,2637357,9957,198406,9020,643780,12291,635290,10723,1159881,14574,2729139,10617,174166,7153,564367,12691,726046,14623,1264560,15004,
Washington,5416555,3870,482814,13600,205380,8210,38536,3618,63673,4364,64577,5175,38594,3599,277434,9364,47377,4090,81049,5264,95737,5026,53271,3829,4933741,14220,2494996,8719,187842,8176,542801,10586,747690,13941,1016663,14792,2438745,10160,148531,6182,467966,10724,782418,13935,1039830,15326,
West Virginia,1233055,3559,184845,8589,81569,5236,22388,3087,35741,2870,15559,2015,7881,1654,103276,4812,21329,2375,46840,3477,25500,2561,9607,1780,1048210,8771,520496,5139,47856,3569,212021,6126,125151,5124,135468,5871,527714,5311,38385,3183,175981,5849,156350,5993,156998,5904,
Wisconsin,4034543,3841,358050,8892,148984,5220,28653,2462,59912,3343,39747,2952,20672,2137,209066,6385,29933,2581,86896,4344,60363,4074,31874,2700,3676493,10466,1846707,6655,116255,4238,554619,9205,569769,9418,606064,9310,1829786,7117,81539,4627,481533,8319,571997,7958,694717,9864,
Wyoming,393924,2770,37668,4236,17127,2446,2267,904,6461,1485,6442,1524,1957,817,20541,2620,2424,890,6606,1395,8291,1767,3220,902,356256,5039,182496,3225,11028,2127,53843,3702,65054,3562,52571,3414,173760,3118,8868,1230,39209,3539,65834,3372,59849,3115,
Puerto Rico,2383169,3513,910196,18463,378278,10141,139153,6068,138650,7084,63975,5080,36500,3735,531918,11275,138836,5861,175421,6963,142597,6801,75064,4948,1472973,18747,712994,10290,83354,5095,204027,7647,186131,7216,239482,8426,759979,11327,72287,3878,144414,5772,180061,7290,363217,10884,
