State,Description,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
UNITED STATES,  Regional price parities (RPPs) 9,(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,(NA)
UNITED STATES,  Implicit regional price deflator 10,(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA)
UNITED STATES,  Total employment (number of jobs),1.9,2.4,0.1,-0.3,0.5,1.8,2.1,2.0,2.1,-0.2,-3.1,-0.4,1.8,1.6,1.9,2.1,2.2,1.6,1.5,2.0,0.7,-3.1,3.8,4.8,(NA)
ALABAMA,  Real GDP (millions of chained 2017 dollars) 1,3.8,1.3,-0.1,2.4,3.3,6.7,3.9,1.4,1.1,-0.5,-3.4,2.7,1.0,1.1,1.6,-0.4,1.4,1.9,1.8,1.9,1.9,-1.3,4.4,1.7,2.5
ALABAMA,  Real personal income (millions of constant (2017) dollars) 2,(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),0.3,0.1,0.7,0.0,-0.1,2.0,4.8,-0.1,2.5,4.9,2.0,7.1,4.5,-3.8,(NA)
ALABAMA,  Real PCE (millions of constant (2017) dollars) 3,(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),0.2,-0.9,0.5,-0.2,1.8,1.8,3.3,1.3,2.4,4.7,1.8,-1.0,7.7,2.4,(NA)
ALABAMA,  Gross domestic product (GDP),5.1,3.4,2.5,3.9,5.3,9.7,6.9,4.6,3.7,1.4,-2.2,3.9,3.0,2.9,3.0,1.6,3.1,2.8,3.7,4.5,3.7,0.3,9.7,9.1,6.6
ALABAMA,  Personal income,3.4,4.6,3.6,2.8,4.6,7.0,5.8,6.3,5.0,3.8,-1.3,4.1,3.6,2.5,0.9,3.3,4.5,1.8,3.7,3.9,4.6,7.3,9.5,2.2,5.1
ALABAMA,  Disposable personal income,3.3,4.8,3.7,4.6,5.4,7.4,4.7,5.5,4.8,4.1,1.0,3.9,2.7,2.9,0.2,3.4,4.0,1.6,4.0,4.6,4.2,7.8,8.4,0.6,7.2
ALABAMA,  Personal consumption expenditures,5.7,5.8,3.9,4.3,5.0,6.2,6.6,5.1,4.5,2.4,-1.3,3.2,3.4,2.3,2.9,3.1,3.0,3.3,3.6,3.6,4.4,-0.8,12.7,8.7,(NA)
ALABAMA,  Real per capita personal income 4,(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),-0.6,-0.6,0.2,-0.6,-0.6,1.6,4.3,-0.6,2.1,4.4,1.5,6.5,4.1,-4.3,(NA)
ALABAMA,  Real per capita PCE 5,(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),-0.6,-1.5,0.0,-0.7,1.3,1.3,2.8,0.8,1.9,4.2,1.2,-1.5,7.3,1.9,(NA)
ALABAMA,  Per capita personal income 6,2.8,4.1,3.2,2.5,4.0,6.3,4.9,5.0,4.0,2.8,-2.2,3.5,3.1,1.9,0.4,2.8,4.0,1.3,3.3,3.4,4.1,6.7,9.1,1.7,4.4
ALABAMA,  Per capita disposable personal income 7,2.7,4.3,3.3,4.3,4.9,6.7,3.8,4.2,3.8,3.1,0.1,3.3,2.2,2.3,-0.3,2.9,3.6,1.1,3.6,4.1,3.6,7.2,8.0,0.1,6.4
ALABAMA,  Per capita personal consumption expenditures (PCE) 8,5.1,5.2,3.5,4.0,4.5,5.6,5.7,3.7,3.5,1.5,-2.2,2.5,2.8,1.8,2.3,2.6,2.5,2.8,3.2,3.1,3.8,-1.3,12.3,8.2,(NA)
ALABAMA,  Regional price parities (RPPs) 9,(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),-1.3,2.2,0.3,0.6,-0.3,-0.2,-0.5,1.0,-0.5,-3.0,1.1,-0.8,0.5,-0.3,(NA)
ALABAMA,  Implicit regional price deflator 10,(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),-1.5,4.1,2.8,2.5,1.0,1.2,-0.3,2.0,1.2,-1.0,2.5,0.2,4.7,6.2,(NA)
ALABAMA,  Total employment (number of jobs),0.7,0.6,-0.7,-0.5,0.3,2.3,2.5,2.4,2.3,-0.8,-4.0,-0.8,1.5,0.2,0.8,1.2,1.4,1.2,1.1,1.6,0.7,-1.5,3.7,3.6,(NA)
ALASKA,  Real GDP (millions of chained 2017 dollars) 1,-1.2,-3.4,4.1,4.7,-1.6,4.0,3.6,7.1,5.4,-0.4,10.1,-2.4,0.7,5.6,-4.3,-2.4,0.7,-0.4,0.2,-2.0,-0.3,-3.8,1.3,-1.4,5.3
ALASKA,  Real personal income (millions of constant (2017) dollars) 2,(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),-1.4,8.4,4.3,1.8,-1.9,3.6,2.1,-3.1,-0.9,2.0,2.3,2.6,-1.4,0.7,(NA)
ALASKA,  Real PCE (millions of constant (2017) dollars) 3,(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),-0.4,6.2,2.2,2.5,1.2,1.3,0.8,0.4,0.3,1.5,2.1,-4.4,5.1,5.7,(NA)
ALASKA,  Gross domestic product (GDP),2.2,8.1,6.4,4.3,7.5,10.2,14.3,11.1,10.0,11.7,-9.2,7.0,6.1,2.5,-1.4,-1.6,-8.9,-0.9,4.8,2.3,-0.5,-5.9,14.4,12.0,2.5
ALASKA,  Personal income,3.0,7.4,5.9,4.9,4.7,4.5,6.5,6.4,7.5,10.4,0.4,7.2,7.1,3.0,-1.1,5.4,3.1,-1.5,1.5,3.8,2.3,1.9,6.3,4.4,4.3
ALASKA,  Disposable personal income,3.3,7.3,5.8,7.0,5.7,5.1,5.9,5.9,6.7,10.1,2.8,7.1,6.4,3.3,-2.1,5.4,2.7,-1.0,2.2,4.6,1.8,2.4,5.0,3.5,5.8
ALASKA,  Personal consumption expenditures,6.3,7.7,5.9,7.2,5.8,6.3,6.9,3.9,5.5,4.4,1.6,5.0,4.9,3.6,2.0,3.1,1.9,2.1,2.8,3.3,2.1,-5.0,13.2,9.5,(NA)
ALASKA,  Real per capita personal income 4,(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),-3.1,6.1,3.0,0.6,-2.8,3.7,1.9,-3.7,-0.7,2.6,2.7,2.9,-1.6,0.8,(NA)
ALASKA,  Real per capita PCE 5,(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),-2.0,4.0,1.0,1.3,0.3,1.4,0.6,-0.2,0.5,2.1,2.5,-4.2,4.9,5.8,(NA)
ALASKA,  Per capita personal income 6,2.2,6.9,5.0,3.5,3.7,2.8,5.3,5.1,6.7,9.3,-1.2,4.9,5.8,1.8,-2.0,5.4,2.9,-2.1,1.7,4.4,2.7,2.2,6.0,4.7,4.3
ALASKA,  Per capita disposable personal income 7,2.5,6.7,4.8,5.5,4.7,3.4,4.7,4.6,5.9,8.9,1.1,4.9,5.1,2.1,-3.0,5.4,2.5,-1.5,2.4,5.2,2.2,2.6,4.8,3.7,5.8
ALASKA,  Per capita personal consumption expenditures (PCE) 8,5.4,7.2,5.0,5.8,4.8,4.5,5.7,2.7,4.8,3.3,-0.1,2.8,3.7,2.4,1.1,3.1,1.7,1.5,3.0,3.9,2.5,-4.7,13.0,9.6,(NA)
ALASKA,  Regional price parities (RPPs) 9,(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),2.2,-2.9,0.1,-0.7,-0.5,0.3,0.9,0.7,0.8,-0.3,-1.4,-1.7,3.4,-2.7,(NA)
ALASKA,  Implicit regional price deflator 10,(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),1.9,-1.1,2.7,1.1,0.8,1.7,1.1,1.7,2.5,1.7,0.0,-0.6,7.7,3.6,(NA)
ALASKA,  Total employment (number of jobs),-0.2,2.2,1.2,1.9,0.9,2.0,1.8,2.3,2.0,0.9,-0.2,0.3,1.5,2.0,0.4,0.0,0.1,-1.0,-0.3,-0.2,0.0,-5.3,2.8,3.3,(NA)
ARIZONA,  Real GDP (millions of chained 2017 dollars) 1,8.5,4.9,2.7,3.2,6.5,4.4,7.1,4.4,3.4,-1.4,-8.2,1.7,2.9,2.3,0.6,1.0,2.3,3.4,4.4,4.0,3.8,0.8,7.8,3.2,2.7
ARIZONA,  Real personal income (millions of constant (2017) dollars) 2,(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),-5.0,2.4,4.0,3.2,0.6,3.9,5.3,2.8,5.2,4.5,4.9,8.3,7.9,-4.8,(NA)
ARIZONA,  Real PCE (millions of constant (2017) dollars) 3,(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),-3.4,3.4,2.6,2.3,1.6,3.4,3.7,2.0,5.2,4.2,2.7,-0.8,13.0,0.2,(NA)
ARIZONA,  Gross domestic product (GDP),8.3,5.9,4.3,4.6,7.5,6.7,10.0,7.9,6.1,-0.1,-6.2,2.3,4.5,4.2,2.2,2.9,4.3,5.0,6.2,6.2,6.2,2.9,11.9,10.0,6.9
ARIZONA,  Personal income,6.0,8.5,4.8,3.8,6.1,9.0,10.1,10.7,5.7,1.8,-5.0,1.9,5.1,4.1,2.4,4.8,5.4,4.6,6.3,6.1,6.9,11.0,9.5,4.9,6.5
ARIZONA,  Disposable personal income,5.9,8.2,5.5,6.2,7.0,8.8,8.7,10.3,5.8,2.8,-2.6,1.5,3.7,4.2,1.5,4.8,4.8,4.6,6.4,6.4,6.5,11.6,8.0,3.5,9.0
ARIZONA,  Personal consumption expenditures,7.8,8.5,4.8,5.0,6.9,8.8,9.4,8.3,5.6,1.6,-3.4,2.9,3.6,3.1,3.3,4.3,3.8,3.8,6.3,5.7,4.6,1.8,14.7,10.3,(NA)
ARIZONA,  Real per capita personal income 4,(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),-6.0,1.4,3.3,2.3,-0.2,2.7,4.1,1.5,4.0,3.2,3.4,6.6,6.6,-6.0,(NA)
ARIZONA,  Real per capita PCE 5,(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),-4.4,2.5,1.8,1.4,0.7,2.2,2.5,0.7,4.0,2.8,1.2,-2.3,11.7,-1.1,(NA)
ARIZONA,  Per capita personal income 6,3.1,5.7,2.6,1.4,3.9,6.2,6.6,7.2,3.3,0.0,-6.0,0.9,4.4,3.1,1.5,3.6,4.2,3.2,5.1,4.7,5.4,9.2,8.2,3.6,5.6
ARIZONA,  Per capita disposable personal income 7,2.9,5.4,3.2,3.8,4.7,6.1,5.2,6.8,3.4,1.0,-3.6,0.5,3.0,3.3,0.7,3.6,3.6,3.3,5.2,5.0,5.0,9.8,6.7,2.2,8.1
ARIZONA,  Per capita personal consumption expenditures (PCE) 8,4.8,5.6,2.6,2.6,4.7,6.0,5.9,4.9,3.2,-0.2,-4.3,2.0,2.9,2.2,2.4,3.1,2.6,2.5,5.1,4.3,3.1,0.2,13.3,8.9,(NA)
ARIZONA,  Regional price parities (RPPs) 9,(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),0.3,-2.2,-1.5,-1.0,0.4,-0.5,-0.1,0.7,-0.7,-0.5,0.4,1.5,-2.6,3.4,(NA)
ARIZONA,  Implicit regional price deflator 10,(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),0.1,-0.5,1.0,0.8,1.7,0.9,0.1,1.8,1.0,1.5,1.9,2.6,1.4,10.1,(NA)
ARIZONA,  Total employment (number of jobs),3.0,3.9,1.0,0.6,2.5,4.3,5.9,4.8,2.7,-1.8,-5.1,-1.5,1.8,1.7,2.3,2.3,2.9,2.7,2.6,3.0,2.0,-0.3,4.3,4.9,(NA)
ARKANSAS,  Real GDP (millions of chained 2017 dollars) 1,5.4,0.8,0.0,3.2,4.5,5.5,3.6,2.2,-0.8,-0.3,-3.3,2.9,2.0,1.2,2.8,1.3,0.1,1.2,0.7,2.0,0.7,0.7,5.9,1.3,2.5
ARKANSAS,  Real personal income (millions of constant (2017) dollars) 2,(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),0.7,-0.8,3.1,4.5,-1.2,4.2,3.3,1.4,2.4,3.7,-0.2,6.4,4.7,-1.2,(NA)
ARKANSAS,  Real PCE (millions of constant (2017) dollars) 3,(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),1.4,-0.3,1.0,0.9,0.9,2.7,3.4,2.5,2.4,4.0,-0.2,-0.6,7.3,4.5,(NA)
ARKANSAS,  Gross domestic product (GDP),7.0,2.8,2.8,4.7,6.1,8.8,6.1,5.4,2.3,1.9,-2.4,4.0,3.9,3.0,4.8,3.0,1.0,2.0,2.4,4.3,2.6,2.4,11.8,9.3,6.2
ARKANSAS,  Personal income,4.0,5.1,5.4,2.4,6.0,6.7,5.0,6.3,6.7,4.6,-1.6,3.4,6.7,6.5,0.2,5.6,3.1,2.7,3.4,4.2,1.9,8.1,10.0,2.5,4.0
ARKANSAS,  Disposable personal income,4.2,4.8,5.6,4.1,7.2,6.9,4.1,6.0,6.0,4.5,0.4,3.5,5.8,6.7,-0.7,5.7,2.8,2.5,3.5,5.1,1.7,8.6,9.0,1.2,6.0
ARKANSAS,  Personal consumption expenditures,6.8,6.9,4.4,3.9,5.4,6.1,7.0,5.5,4.9,3.6,-0.9,4.0,4.6,2.8,2.3,4.0,3.1,3.8,3.4,4.4,1.9,1.1,12.7,8.3,(NA)
ARKANSAS,  Real per capita personal income 4,(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),0.0,-1.7,2.5,4.2,-1.4,4.0,3.0,1.0,2.1,3.5,-0.4,6.1,4.3,-1.8,(NA)
ARKANSAS,  Real per capita PCE 5,(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),0.6,-1.2,0.4,0.5,0.7,2.5,3.1,2.1,2.0,3.8,-0.4,-0.9,6.8,3.9,(NA)
ARKANSAS,  Per capita personal income 6,3.0,4.1,4.9,1.8,5.3,5.7,3.8,4.8,5.7,3.6,-2.3,2.6,6.1,6.2,0.0,5.3,2.7,2.3,3.0,3.9,1.7,7.8,9.5,1.9,3.3
ARKANSAS,  Per capita disposable personal income 7,3.2,3.8,5.1,3.5,6.4,5.9,2.9,4.4,5.0,3.6,-0.4,2.7,5.2,6.4,-0.9,5.4,2.5,2.2,3.2,4.8,1.5,8.3,8.5,0.6,5.2
ARKANSAS,  Per capita personal consumption expenditures (PCE) 8,5.8,5.8,3.9,3.3,4.6,5.1,5.7,4.0,3.9,2.6,-1.7,3.1,3.9,2.4,2.1,3.8,2.8,3.5,3.0,4.2,1.7,0.7,12.2,7.7,(NA)
ARKANSAS,  Regional price parities (RPPs) 9,(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),-2.0,2.5,1.0,0.0,0.1,-0.1,-0.4,0.3,-0.7,-1.6,0.7,0.6,0.8,-2.6,(NA)
ARKANSAS,  Implicit regional price deflator 10,(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),-2.2,4.3,3.5,1.9,1.4,1.3,-0.2,1.3,1.0,0.4,2.1,1.7,5.0,3.7,(NA)
ARKANSAS,  Total employment (number of jobs),1.0,1.5,0.0,-0.2,0.2,1.6,2.2,2.0,1.0,-0.2,-2.3,-0.1,1.3,0.2,0.3,1.2,1.5,1.2,0.6,1.1,0.3,-1.4,2.8,4.1,(NA)
CALIFORNIA,  Real GDP (millions of chained 2017 dollars) 1,7.6,7.8,0.0,2.1,4.1,3.2,4.4,3.8,2.3,1.1,-3.7,2.0,1.8,2.9,3.8,3.8,4.8,3.1,4.5,4.0,3.9,-1.3,7.6,0.7,2.1
CALIFORNIA,  Real personal income (millions of constant (2017) dollars) 2,(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),-2.2,3.6,4.0,3.8,0.1,4.5,6.3,4.2,2.0,2.0,4.6,7.2,4.5,-6.9,(NA)
CALIFORNIA,  Real PCE (millions of constant (2017) dollars) 3,(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),-2.4,2.6,1.9,2.0,1.8,3.0,3.9,4.1,2.4,2.8,3.8,-4.5,9.3,2.4,(NA)
CALIFORNIA,  Gross domestic product (GDP),8.4,9.3,1.4,3.4,5.6,5.8,7.2,6.7,4.9,2.4,-3.4,3.1,3.9,4.7,5.4,5.3,6.2,4.0,6.0,5.8,5.6,0.2,11.3,6.6,6.1
CALIFORNIA,  Personal income,7.3,10.3,3.7,1.5,4.5,6.0,5.5,7.6,4.6,1.7,-3.1,4.6,6.4,5.9,1.4,6.2,7.2,4.5,4.7,5.1,5.3,9.0,8.9,-0.2,4.2
CALIFORNIA,  Disposable personal income,5.7,8.0,6.1,5.3,5.5,6.0,3.9,7.1,3.9,2.3,0.1,3.9,5.1,5.7,-0.2,5.8,6.4,4.8,4.8,4.9,5.4,9.2,6.4,-2.2,8.0
CALIFORNIA,  Personal consumption expenditures,7.5,8.8,5.0,4.3,5.5,6.8,7.0,6.4,5.9,3.1,-3.2,3.5,4.3,4.0,3.2,4.7,4.8,4.4,5.2,5.9,4.4,-2.7,13.9,9.6,(NA)
CALIFORNIA,  Real per capita personal income 4,(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),-3.2,2.6,3.1,2.9,-0.7,3.6,5.4,3.5,1.5,1.7,4.6,7.3,5.4,-6.6,(NA)
CALIFORNIA,  Real per capita PCE 5,(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),-3.4,1.6,1.1,1.1,1.0,2.1,3.0,3.4,1.9,2.5,3.7,-4.3,10.3,2.7,(NA)
CALIFORNIA,  Per capita personal income 6,5.6,8.7,2.2,0.4,3.4,5.1,4.8,7.0,3.9,0.7,-4.0,3.5,5.5,5.0,0.6,5.3,6.3,3.8,4.2,4.8,5.2,9.2,9.9,0.0,4.4
CALIFORNIA,  Per capita disposable personal income 7,4.1,6.4,4.6,4.1,4.4,5.1,3.2,6.5,3.2,1.3,-0.8,2.9,4.2,4.8,-1.1,4.9,5.5,4.1,4.3,4.6,5.4,9.3,7.4,-2.0,8.2
CALIFORNIA,  Per capita personal consumption expenditures (PCE) 8,5.8,7.2,3.5,3.1,4.3,5.8,6.3,5.8,5.3,2.1,-4.1,2.5,3.4,3.2,2.3,3.8,3.9,3.7,4.6,5.6,4.4,-2.6,14.9,9.9,(NA)
CALIFORNIA,  Regional price parities (RPPs) 9,(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),-0.5,-0.9,-0.2,0.2,0.0,0.2,0.7,-0.7,1.0,0.9,-0.8,0.7,0.0,0.5,(NA)
CALIFORNIA,  Implicit regional price deflator 10,(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),-0.8,0.9,2.3,2.0,1.3,1.6,0.9,0.3,2.7,3.0,0.6,1.8,4.2,7.0,(NA)
CALIFORNIA,  Total employment (number of jobs),2.3,2.0,0.6,0.1,0.6,1.6,1.7,1.9,1.9,-1.1,-4.0,-1.0,1.7,3.4,3.2,3.2,3.1,2.2,1.6,2.2,0.6,-4.4,3.4,5.7,(NA)
COLORADO,  Real GDP (millions of chained 2017 dollars) 1,7.1,8.0,1.6,0.4,1.0,1.6,4.8,2.4,3.9,1.1,-2.2,1.4,1.6,1.9,4.2,4.6,4.8,2.2,3.7,4.3,5.0,-0.7,6.8,2.2,2.9
COLORADO,  Real personal income (millions of constant (2017) dollars) 2,(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),-3.5,2.9,3.1,3.7,3.7,6.9,4.0,0.8,4.9,8.8,3.3,4.4,7.9,-0.1,(NA)
COLORADO,  Real PCE (millions of constant (2017) dollars) 3,(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),-0.3,3.0,-0.3,1.0,3.5,4.5,5.3,4.4,4.0,6.2,1.6,-3.0,11.2,4.1,(NA)
COLORADO,  Gross domestic product (GDP),8.5,10.4,3.7,2.0,2.9,4.4,8.4,5.5,6.8,3.6,-3.0,2.8,3.6,3.2,6.0,6.2,3.8,3.0,5.9,6.8,6.4,0.0,12.4,9.9,5.9
COLORADO,  Personal income,7.5,11.3,5.1,0.3,1.9,3.9,6.5,8.0,6.6,4.7,-4.7,2.9,8.6,5.4,5.0,8.3,4.2,1.4,6.9,8.2,7.1,6.8,11.4,5.8,4.9
COLORADO,  Disposable personal income,7.0,10.6,6.6,2.7,3.2,3.9,5.3,7.1,5.9,5.4,-1.9,2.3,7.3,5.6,4.2,8.1,3.6,1.0,7.4,9.0,6.8,7.3,9.9,4.2,7.7
COLORADO,  Personal consumption expenditures,9.6,10.3,5.4,2.8,4.4,6.1,6.0,6.2,5.9,3.5,-1.5,3.1,5.0,2.7,4.8,5.9,5.6,5.1,6.1,5.6,5.3,-0.6,14.8,10.2,(NA)
COLORADO,  Real per capita personal income 4,(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),-5.1,1.4,1.6,2.3,2.2,5.3,2.1,-0.8,3.5,7.3,2.2,3.5,7.4,-0.6,(NA)
COLORADO,  Real per capita PCE 5,(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),-1.9,1.5,-1.7,-0.3,2.0,3.0,3.4,2.8,2.7,4.8,0.6,-3.8,10.7,3.6,(NA)
COLORADO,  Per capita personal income 6,4.7,8.7,2.8,-1.2,1.0,2.9,5.2,6.0,4.7,2.9,-6.3,1.4,7.1,4.0,3.5,6.7,2.3,-0.2,5.6,6.7,6.0,5.9,10.9,5.3,4.2
COLORADO,  Per capita disposable personal income 7,4.2,8.0,4.2,1.3,2.3,2.9,4.0,5.1,4.0,3.6,-3.6,0.8,5.8,4.1,2.8,6.5,1.7,-0.6,6.0,7.5,5.7,6.4,9.4,3.7,7.0
COLORADO,  Per capita personal consumption expenditures (PCE) 8,6.8,7.7,3.0,1.3,3.5,5.0,4.7,4.2,4.1,1.7,-3.1,1.6,3.5,1.3,3.4,4.4,3.6,3.4,4.7,4.1,4.2,-1.5,14.3,9.7,(NA)
COLORADO,  Regional price parities (RPPs) 9,(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),-0.9,-1.7,2.8,-0.2,0.0,0.0,0.0,-0.4,0.2,-2.6,2.2,1.3,-0.9,-0.6,(NA)
COLORADO,  Implicit regional price deflator 10,(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),-1.2,0.0,5.4,1.6,1.3,1.4,0.2,0.6,2.0,-0.6,3.7,2.4,3.2,5.9,(NA)
COLORADO,  Total employment (number of jobs),2.8,3.9,0.8,-0.8,-0.3,1.7,2.6,2.4,3.5,1.0,-2.7,-0.7,1.9,1.8,2.9,3.3,3.1,2.6,2.6,2.6,1.0,-1.9,4.4,5.0,(NA)
CONNECTICUT,  Real GDP (millions of chained 2017 dollars) 1,3.1,6.9,1.1,-0.9,1.0,6.7,2.2,4.4,3.3,-0.2,-4.4,0.5,-2.0,0.8,-1.8,0.7,3.2,-0.3,2.1,0.3,-0.1,-5.7,4.0,2.9,2.1
CONNECTICUT,  Real personal income (millions of constant (2017) dollars) 2,(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),-1.1,5.4,-0.4,-0.3,-3.7,3.4,1.9,1.0,0.9,5.4,1.4,1.8,3.1,-6.8,(NA)
CONNECTICUT,  Real PCE (millions of constant (2017) dollars) 3,(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),-2.1,4.4,-0.5,1.1,0.9,3.0,1.8,0.9,1.7,4.8,0.2,-3.4,8.8,-2.7,(NA)
CONNECTICUT,  Gross domestic product (GDP),4.7,8.8,3.4,1.1,2.8,9.5,5.0,7.5,5.8,1.5,-1.9,1.0,-0.4,2.9,0.3,2.7,5.5,1.6,3.4,2.4,1.8,-3.4,7.3,7.9,6.5
CONNECTICUT,  Personal income,5.5,9.4,5.7,-0.1,1.3,5.3,5.3,8.0,7.6,6.6,-1.1,3.6,3.0,1.2,-2.3,4.1,2.6,1.9,2.4,4.5,2.7,4.0,5.0,2.9,5.2
