state,Estimate!!Total,Margin of Error!!Total,Estimate!!Total!!Less than high school graduate,Margin of Error!!Total!!Less than high school graduate,Estimate!!Total!!High school graduate (includes equivalency),Margin of Error!!Total!!High school graduate (includes equivalency),Estimate!!Total!!Some college or associate's degree,Margin of Error!!Total!!Some college or associate's degree,Estimate!!Total!!Bachelor's degree,Margin of Error!!Total!!Bachelor's degree,Estimate!!Total!!Graduate or professional degree,Margin of Error!!Total!!Graduate or professional degree,Estimate!!Total!!Male,Margin of Error!!Total!!Male,Estimate!!Total!!Male!!Less than high school graduate,Margin of Error!!Total!!Male!!Less than high school graduate,Estimate!!Total!!Male!!High school graduate (includes equivalency),Margin of Error!!Total!!Male!!High school graduate (includes equivalency),Estimate!!Total!!Male!!Some college or associate's degree,Margin of Error!!Total!!Male!!Some college or associate's degree,Estimate!!Total!!Male!!Bachelor's degree,Margin of Error!!Total!!Male!!Bachelor's degree,Estimate!!Total!!Male!!Graduate or professional degree,Margin of Error!!Total!!Male!!Graduate or professional degree,Estimate!!Total!!Female,Margin of Error!!Total!!Female,Estimate!!Total!!Female!!Less than high school graduate,Margin of Error!!Total!!Female!!Less than high school graduate,Estimate!!Total!!Female!!High school graduate (includes equivalency),Margin of Error!!Total!!Female!!High school graduate (includes equivalency),Estimate!!Total!!Female!!Some college or associate's degree,Margin of Error!!Total!!Female!!Some college or associate's degree,Estimate!!Total!!Female!!Bachelor's degree,Margin of Error!!Total!!Female!!Bachelor's degree,Estimate!!Total!!Female!!Graduate or professional degree,Margin of Error!!Total!!Female!!Graduate or professional degree,Unnamed: 37
GEORGIA,36223,243,21274,405,27706,741,32448,485,50962,429,62819,1266,41697,309,24725,882,31977,365,41242,432,62471,1685,81186,1398,30865,260,15310,490,22480,581,27091,411,41582,589,55238,1038,
HAWAII,40281,438,23401,1344,31361,524,38200,1485,49440,1436,64283,3270,45179,1520,24956,3287,34894,1763,44960,3029,55647,5802,75042,5243,35189,927,18702,2686,26737,996,31737,638,44168,2557,58211,4336,
IDAHO,32340,618,23004,1649,27114,829,31468,621,41343,1136,60084,4645,40474,721,29384,2460,32263,1662,40219,1370,51991,1914,72111,7417,25843,617,16649,1214,19915,1578,25264,1147,32755,2218,47939,4233,
ILLINOIS,40743,147,22282,347,30526,235,36054,266,55161,703,70924,632,48254,763,26335,668,36405,445,45158,759,67681,1603,90313,1561,32879,653,17707,770,23596,665,29704,652,45967,619,60362,730,
INDIANA,36168,236,22415,715,30846,294,33681,1028,48790,1471,60620,721,42437,426,26784,808,37131,479,42189,431,60889,850,71978,1898,29816,491,17068,587,22972,691,27255,453,40076,810,52327,1392,
IOWA,37747,763,26151,1206,31515,393,35749,537,48207,1168,64417,2396,43984,1356,31375,832,38052,1560,42177,560,57273,1448,76366,2958,31283,370,18486,1814,23484,895,29661,1085,41233,737,58527,2398,
KANSAS,36897,372,23425,862,28685,1043,32765,1178,46772,871,57533,2059,43107,1362,28583,2591,35137,1746,41131,582,60168,3180,73325,3003,30728,360,17706,1451,21748,815,27247,794,39835,958,50389,1039,
KENTUCKY,35057,439,20974,824,28372,784,32301,421,47610,1270,56285,1319,41014,343,24865,1833,33807,1482,41369,565,56362,2005,70036,3319,29276,878,16040,1103,21418,537,26484,587,40790,818,50911,804,
LOUISIANA,35035,677,20766,694,27996,1131,32309,575,46163,937,57210,2078,42421,998,26885,1729,37903,1878,45225,1724,57045,3995,79208,5914,27314,432,13241,1002,20744,534,26523,559,40210,957,50398,1020,
MAINE,35585,646,19634,1670,27934,1254,33302,2114,43559,2752,56855,2417,41129,607,21359,2312,32149,1592,41576,1230,55685,4053,70193,6426,30574,533,15511,2162,22727,1187,28681,1825,37579,1866,51023,1444,
MARYLAND,48147,651,26170,692,32982,1151,41813,363,61049,503,82479,1273,54302,1206,30473,783,38836,1594,51072,588,72559,2086,100562,845,41551,326,20177,853,29055,1068,36822,615,52129,560,70887,849,
MASSACHUSETTS,48220,797,25717,882,35003,827,40706,368,60503,503,76972,876,55452,735,30583,1047,41487,453,49775,1237,71788,822,97814,3337,40741,322,20302,845,26953,627,34659,978,50855,570,65944,1041,
MICHIGAN,36209,172,20512,508,27202,270,32435,294,50821,435,68906,1585,43594,830,24222,994,32342,318,41433,405,63642,2187,84934,2293,30048,226,14961,883,21444,344,26960,336,40755,440,59175,1765,
MINNESOTA,41757,205,23823,1334,31535,318,38355,852,54749,1355,70728,746,49683,921,27798,1327,37352,706,46338,633,66359,1188,82558,2425,36080,318,17574,1325,25262,426,31844,335,45935,718,62193,1072,
MISSISSIPPI,31731,317,20057,1117,26693,820,30838,469,42130,1212,51943,1155,39182,1609,24193,2312,32516,1578,40816,994,53613,3166,65952,6182,26472,551,15806,730,19940,935,24944,925,36599,912,47708,2621,
MISSOURI,35908,236,21505,532,29902,562,32334,334,45701,675,57229,1425,41635,278,26537,1105,36005,495,40677,471,56180,1347,71403,2780,30460,246,17046,892,22545,534,27536,555,39940,917,50835,678,
MONTANA,32091,428,18782,3084,26475,914,30816,571,39650,1841,52319,3333,39836,1319,24744,3144,33002,2905,38081,2941,46715,2151,65256,4378,26943,774,13396,3053,21583,744,25060,1333,34555,2163,47597,2902,
NEBRASKA,37002,341,25292,1103,30482,459,35209,646,46260,781,61459,1210,43890,1481,27452,2458,36600,1099,42893,1569,56765,1954,73844,3565,31112,327,19804,2952,23311,905,28883,1057,40542,798,52636,1829,
NEVADA,35156,428,25444,724,30968,514,35351,558,46908,1454,62224,2608,39816,1271,26662,848,34630,1621,41328,865,56903,3968,78828,5588,31007,343,22867,1484,26362,862,30739,601,40253,1585,52477,3022,
NEW HAMPSHIRE,41776,532,27896,2467,32290,656,39245,1927,51823,1082,67970,2547,50165,852,30666,2246,37344,1792,47736,2494,62169,3778,89943,5234,35839,680,22438,1964,27047,1724,31825,701,42198,2011,57497,3643,
NEW JERSEY,47461,574,22319,563,31941,357,41074,371,62300,484,87104,1178,55553,621,26780,936,40156,747,50272,629,77001,1219,103899,2760,39899,819,17787,969,25274,716,33827,1603,52628,980,70463,920,
NEW MEXICO,31524,381,18979,962,25622,738,30487,473,42021,860,56325,1774,37085,780,22558,1603,29622,1808,38138,1967,48598,3057,73053,4765,26749,651,14999,1327,21264,936,24724,1143,39179,3574,51275,1218,
NEW YORK,41610,170,21133,246,30742,227,37005,233,56868,609,73504,1366,47486,554,24733,705,36058,462,44272,1395,65877,721,90246,1316,36745,270,16565,356,24019,598,31607,249,50554,393,65280,613,
NORTH CAROLINA,35160,243,20664,482,26922,283,31666,280,47143,603,60374,770,40443,286,24249,783,31155,284,39690,945,59337,2615,76763,1776,30401,215,15428,531,21847,410,26945,339,40461,385,50992,594,
NORTH DAKOTA,40683,454,29430,2644,32689,1676,39346,1647,46865,1662,61079,2762,49294,1741,33650,6290,41153,1255,49621,2269,59962,4654,72003,4315,31993,586,22972,3709,24461,1798,30530,823,40891,730,53704,3625,
OHIO,36819,194,20969,470,30230,225,33825,762,50830,349,65773,734,42943,629,24752,1388,36246,358,41656,320,61516,672,79994,2463,30797,196,15949,719,22423,297,28026,539,41988,407,56663,1068,
OKLAHOMA,34558,521,21968,407,28144,718,33012,947,44977,1160,57433,3291,41257,276,27239,1020,34601,1691,41752,487,59070,2320,72704,2799,28677,621,15272,849,22127,504,27225,610,37155,612,46260,1569,
OREGON,35945,336,22194,732,29816,1143,32004,382,46942,1383,63868,2310,41746,379,26312,1081,33887,2365,40278,879,57328,3406,76876,3963,30609,319,18731,1270,22304,1013,27317,857,38823,1958,54926,2306,
PENNSYLVANIA,39615,364,22805,766,30508,241,35886,365,51199,326,69691,1113,46410,291,27422,1034,37115,400,42728,1106,61491,480,86290,1430,31973,193,16859,843,23682,500,30649,306,42127,398,59533,1507,
RHODE ISLAND,41590,507,25603,1660,32759,2046,37040,974,52045,1454,71414,1815,49657,2148,31028,1179,40702,1124,45908,3545,64084,5087,81386,3655,35786,743,19015,2286,27367,2051,31674,721,44461,3033,67238,3404,
SOUTH CAROLINA,33255,746,20566,614,27031,468,31621,407,46083,896,55218,1466,40515,456,23963,1335,32166,575,40843,542,60309,1781,71340,2278,28871,708,15042,1242,21711,429,26667,679,37329,1137,49669,1223,
SOUTH DAKOTA,36068,496,22805,3102,30297,616,35083,1312,42054,749,51902,1723,41435,524,26403,1667,37084,1677,41357,719,50989,1531,54162,4541,30410,414,16941,2370,23299,1585,28103,1880,36930,976,51201,1743,
TENNESSEE,34346,660,21156,490,27292,358,32327,387,46065,680,56454,1294,40337,340,24202,843,31906,336,40671,598,56720,1290,74182,3107,29741,546,15246,1114,21800,350,27531,654,39584,1535,48814,1732,
TEXAS,36691,152,21720,230,27774,460,35933,223,52967,594,69803,1305,42309,168,26296,287,33121,932,42697,882,65665,824,89008,3200,30612,162,15492,249,21777,232,30243,238,46826,451,56954,669,
UTAH,37171,470,25501,932,30923,474,34015,1756,47164,1388,70026,2939,48178,1391,30348,1032,38246,2093,42410,2042,62381,2715,83953,3972,27026,499,18692,865,22305,941,25959,791,32511,1708,55474,3442,
VERMONT,37965,1193,26125,1989,31471,783,35937,1288,42338,2023,57297,2547,41926,644,28246,3531,36921,1572,41631,1510,50236,2575,67558,5400,33323,1637,19350,6440,25880,1108,30752,1520,38922,2540,51527,1354,
VIRGINIA,42006,204,23061,1216,30524,353,36778,378,56324,747,80559,968,50632,294,27796,1394,35687,645,43396,1628,72263,1427,101474,602,36044,299,17450,946,24588,857,31121,427,45901,778,61735,696,
WASHINGTON,41887,227,25151,646,32077,357,37295,322,58262,1857,72335,1217,51059,286,29357,1556,40056,923,46501,664,73094,2195,91609,1869,34216,954,19044,783,25866,550,30751,409,45481,965,60713,929,
WEST VIRGINIA,31970,417,20512,1368,26122,618,31038,622,42318,2151,54743,2917,40354,634,26041,1825,32837,2445,41313,1459,51796,1585,70911,3503,26243,512,14564,1982,21189,477,24732,926,37040,1580,48278,2727,
WISCONSIN,38599,440,24238,987,31233,238,36035,308,50323,340,62487,1117,45581,411,28105,1897,37247,384,44683,1254,61259,771,75101,2519,31607,201,19477,1459,24607,620,30075,332,41599,378,55505,1144,
WYOMING,37164,1474,23969,3307,31491,1417,34750,3188,47322,2800,59833,7198,46517,1734,30068,8504,41567,3111,46331,2845,51077,3328,68447,9501,29021,1546,18200,3455,21948,1691,24913,1509,45418,3163,53148,3953,
PUERTO RICO,18115,331,10485,746,14745,490,16531,275,24860,626,36168,1013,18102,403,11041,863,15537,388,17909,772,27968,2115,45383,5980,18129,472,9376,651,12509,635,15266,431,23580,645,32110,1173,
