state,Estimate!!Total,Margin of Error!!Total,Estimate!!Total!!Less than high school graduate,Margin of Error!!Total!!Less than high school graduate,Estimate!!Total!!High school graduate (includes equivalency),Margin of Error!!Total!!High school graduate (includes equivalency),Estimate!!Total!!Some college or associate's degree,Margin of Error!!Total!!Some college or associate's degree,Estimate!!Total!!Bachelor's degree,Margin of Error!!Total!!Bachelor's degree,Estimate!!Total!!Graduate or professional degree,Margin of Error!!Total!!Graduate or professional degree,Estimate!!Total!!Male,Margin of Error!!Total!!Male,Estimate!!Total!!Male!!Less than high school graduate,Margin of Error!!Total!!Male!!Less than high school graduate,Estimate!!Total!!Male!!High school graduate (includes equivalency),Margin of Error!!Total!!Male!!High school graduate (includes equivalency),Estimate!!Total!!Male!!Some college or associate's degree,Margin of Error!!Total!!Male!!Some college or associate's degree,Estimate!!Total!!Male!!Bachelor's degree,Margin of Error!!Total!!Male!!Bachelor's degree,Estimate!!Total!!Male!!Graduate or professional degree,Margin of Error!!Total!!Male!!Graduate or professional degree,Estimate!!Total!!Female,Margin of Error!!Total!!Female,Estimate!!Total!!Female!!Less than high school graduate,Margin of Error!!Total!!Female!!Less than high school graduate,Estimate!!Total!!Female!!High school graduate (includes equivalency),Margin of Error!!Total!!Female!!High school graduate (includes equivalency),Estimate!!Total!!Female!!Some college or associate's degree,Margin of Error!!Total!!Female!!Some college or associate's degree,Estimate!!Total!!Female!!Bachelor's degree,Margin of Error!!Total!!Female!!Bachelor's degree,Estimate!!Total!!Female!!Graduate or professional degree,Margin of Error!!Total!!Female!!Graduate or professional degree,Unnamed: 37
GEORGIA,39150,423,23946,854,30400,276,35172,498,54692,1432,67375,1217,45526,426,28174,1412,34876,967,42407,955,68442,2705,86461,2265,32256,257,19218,824,24540,613,29525,893,45433,1124,59203,2270,
HAWAII,41737,506,26337,2522,35307,1075,40013,2023,50463,938,69668,4510,48622,1746,32525,4697,40439,1409,46279,2971,60577,2453,84133,6648,36420,673,21986,2719,30607,1218,33618,1425,44720,3665,60262,2423,
IDAHO,35694,680,26050,995,30790,586,32871,1377,44469,2970,61876,1988,41955,468,31733,1327,36052,1191,41502,776,56483,4061,77470,6327,27947,1344,17625,1999,22644,1556,26231,1037,37586,2291,51527,1574,
ILLINOIS,42583,495,26046,526,31625,237,37827,766,57357,743,75802,680,51113,205,30902,458,38753,902,47692,1103,70862,672,95265,2380,35785,320,20363,449,25023,487,30839,355,48688,966,64137,1365,
INDIANA,38825,550,25560,662,32171,293,36435,438,49851,1354,62726,1912,46545,446,30960,828,40583,378,46125,761,62140,1072,76013,2626,31417,277,19025,1370,24692,838,30036,564,41206,544,55069,2024,
IOWA,40709,295,29980,1368,32367,713,36699,520,51620,497,67140,1771,48384,1121,33443,2624,40815,693,46129,826,62472,1741,78500,4483,32639,594,21531,1132,24291,1062,30082,682,44010,1992,61221,1121,
KANSAS,39658,734,26462,835,30792,379,35549,521,49852,1220,61361,1019,46726,626,30896,887,36356,1002,44121,2014,61752,1257,77273,3084,31925,422,18975,1925,22553,942,28635,997,41299,709,52291,1231,
KENTUCKY,36310,363,21639,836,30213,435,34070,821,50146,975,56623,1003,42034,427,24649,1573,35802,733,41778,609,59617,3165,67529,4086,30877,360,16812,1655,22370,628,28699,830,41160,967,52320,962,
LOUISIANA,36602,512,21282,678,29383,832,35199,1137,50273,913,57058,1123,46394,810,26897,1730,40430,880,46590,1541,61403,1304,75237,4902,29238,806,16272,746,21952,580,27884,1216,42567,1479,51066,829,
MAINE,37290,574,25581,2179,30726,650,36221,920,43809,2286,60013,4012,41846,586,30582,2821,35685,1001,42558,2183,50824,1474,66514,6635,32620,807,17364,4516,23924,1337,31556,781,39346,2055,55061,3396,
MARYLAND,50791,328,27088,844,35780,737,42074,425,63399,1904,86118,1280,56891,602,32224,1450,41992,738,50478,611,75723,1564,102083,905,43874,1062,20537,819,30034,909,36646,679,54227,2133,74180,2135,
MASSACHUSETTS,51070,283,26686,707,36248,599,41221,463,62154,568,81469,712,60441,403,31349,1098,44064,1994,50439,544,74818,2243,101067,629,42305,523,22790,940,28154,996,34933,896,52156,664,70561,820,
MICHIGAN,39208,456,22405,599,30274,264,35414,351,52352,553,71057,599,46890,424,27124,757,35643,520,44171,1126,67074,1048,90097,2461,31734,214,17061,1186,23622,597,29370,449,42628,924,60108,1320,
MINNESOTA,45120,325,27244,1139,33173,860,40837,317,57806,1493,73062,1554,51411,266,32182,1009,40203,506,48779,1402,70299,1102,85371,2162,38585,590,21491,831,26658,673,34369,558,50122,810,65586,1417,
MISSISSIPPI,33417,907,21680,1025,27238,604,31695,530,42497,1845,55339,2173,40917,493,26676,1741,33321,1893,40688,863,55584,2942,70227,4369,28049,938,14527,1417,20268,798,26072,734,36966,966,50125,2066,
MISSOURI,37641,471,24461,1141,30417,340,34718,732,50659,447,61244,712,44727,826,28336,1623,36125,663,41528,504,61151,915,79974,4383,31817,284,19491,1234,24039,985,29767,667,41940,613,52216,1184,
MONTANA,34949,836,20339,4185,27583,1368,31601,698,42224,1244,56959,3409,41508,824,26819,7035,33149,2095,39452,2684,51293,1572,67457,7099,29360,1084,13824,3476,21828,824,27096,960,37042,2526,50977,2195,
NEBRASKA,40310,398,29051,1836,30587,660,36808,514,50032,1197,62451,1709,46246,551,33234,3124,37422,1322,45538,596,57853,2777,75434,2938,32353,712,20669,1562,23270,966,30188,646,42052,1238,57714,1817,
NEVADA,37600,732,28814,1800,32039,445,38018,1231,48779,2441,67845,2817,41612,475,31710,807,36416,903,42457,1506,56838,2085,76739,5988,33785,937,22148,866,28102,1514,33636,1349,42011,1070,61442,1928,
NEW HAMPSHIRE,45069,927,27551,2840,35200,1262,41801,877,57015,1962,70885,1511,54151,1946,31625,3649,42336,1787,51721,1363,75536,2943,91763,6413,36779,860,22692,2797,26328,981,35021,1549,43932,2386,62784,2389,
NEW JERSEY,50913,282,24963,940,34431,786,42079,490,65658,878,89332,1766,60183,644,30484,884,41717,697,51474,544,79360,2606,109510,4499,41869,376,18126,1158,27460,833,35177,836,55702,912,73106,1911,
NEW MEXICO,32779,768,20626,928,26953,890,30800,577,45861,1551,61635,1271,37776,1224,24003,2144,31456,1117,37080,1215,53694,3906,79290,5500,27988,938,12750,1194,21270,1056,24981,1040,40442,1521,54761,1310,
NEW YORK,45764,220,23749,454,32286,217,40458,236,60985,359,77469,884,51253,200,27350,538,38605,969,47960,1046,70370,608,92345,1317,40527,204,18691,635,26412,348,34177,765,52888,1261,70156,787,
NORTH CAROLINA,36882,213,22784,724,28401,675,33982,558,49295,907,62888,1856,42033,298,25908,610,32489,782,41033,440,61601,752,85824,2810,31821,236,17080,610,22260,477,29316,558,41442,429,52460,1097,
NORTH DAKOTA,44738,1368,29625,6823,36576,1367,42018,899,50976,1115,64310,4295,51882,670,36513,10597,43038,3993,51859,900,62361,2313,74010,8419,35825,817,18126,3079,26586,1623,32199,1126,42860,2691,60681,3143,
OHIO,40052,207,22929,1037,31372,207,35933,323,52613,1077,67945,1388,46939,398,28751,1215,38353,827,43701,1100,65755,1112,81020,795,32376,195,17146,818,24472,586,30609,294,44604,1146,61048,464,
OKLAHOMA,35989,276,24881,1177,30193,427,34382,915,46162,808,58154,3316,42587,720,29979,1667,36792,789,42256,621,60202,2586,75076,3972,29960,513,16937,902,22654,654,27288,690,38745,924,49853,1183,
OREGON,40148,372,26327,815,31098,517,36161,539,51699,723,69381,2353,45753,646,30717,1247,36347,1052,41889,698,61680,853,83465,4877,34092,1098,20880,714,25281,858,30579,681,42787,1660,60376,1000,
PENNSYLVANIA,41258,184,26096,592,31870,268,37372,323,52668,909,71209,655,49087,552,30980,482,39936,675,46511,650,63743,1862,86241,1291,34281,496,20003,1031,25508,340,31192,331,45834,740,61803,687,
RHODE ISLAND,45283,1006,30423,1978,35673,1166,41218,1041,56513,1792,71954,3009,51957,771,38500,5397,42360,3257,50305,4347,67387,3796,81707,6807,38166,1856,22573,2530,29604,2172,35458,1807,48983,4196,67410,5384,
SOUTH CAROLINA,35650,397,21180,621,27686,835,32980,926,49131,1661,58079,2109,41550,417,24981,1616,32085,557,41343,591,60735,1147,75665,2710,30533,305,15983,762,22780,916,28059,906,40851,972,51082,815,
SOUTH DAKOTA,36836,497,24899,3345,31037,691,35984,714,45177,1680,56641,2747,42207,905,30548,2337,36171,974,42101,1559,53911,3717,70213,7262,31178,557,20372,2382,24309,1557,30589,993,39642,2082,51458,2557,
TENNESSEE,36410,260,22122,590,30074,394,33760,746,48256,1246,61543,806,41902,312,26355,868,34976,884,41919,608,60102,2395,77950,4604,31054,319,17599,1048,24246,804,28232,873,41443,551,53251,1948,
TEXAS,39909,291,24047,460,30804,166,37027,242,55437,396,71167,746,46128,301,30042,518,36373,354,45735,567,67259,1044,89921,2941,32144,160,16629,281,24037,491,31216,276,49005,756,60570,409,
UTAH,41127,351,27432,2012,33406,1146,37148,733,49238,1704,72603,3368,51572,399,34289,2450,41600,838,48318,1506,66005,1828,90701,3318,30357,437,18834,2908,25831,885,27224,1140,35253,1499,53893,2862,
VERMONT,39521,1248,29376,2922,31453,1155,36907,906,43198,2417,60524,1987,43604,1705,32181,3933,36907,1559,42345,2830,51227,1784,68226,5089,35199,1256,13094,9191,23928,1956,33434,2135,40370,2197,56970,2903,
VIRGINIA,45865,319,24900,912,31831,471,39440,875,60105,1052,82600,2376,52702,870,29928,1288,37564,1019,47461,1118,73448,2896,103905,3155,38626,775,18794,1096,25030,889,31867,473,49399,1111,66151,1115,
WASHINGTON,46329,449,28613,1433,35865,484,40755,371,61135,527,80520,742,55129,719,33759,2573,41933,669,50541,519,75974,1393,101005,949,37266,417,21844,552,28668,1085,32328,497,49957,1212,65937,1217,
WEST VIRGINIA,33375,831,24872,1865,30250,559,31250,781,41804,1678,55120,2264,41146,646,26997,1480,37283,1325,41413,1515,50824,1707,65233,7716,27183,649,18292,2544,21741,579,25732,1040,35333,1578,50701,2218,
WISCONSIN,41273,214,28345,1506,32708,627,38747,629,51879,440,65974,876,48413,722,32857,1507,40173,379,47320,636,64678,2054,77685,3166,34742,498,20848,937,25828,440,31875,364,44628,1088,59019,2040,
WYOMING,40159,1331,25838,3964,35160,2727,35766,1710,47980,3260,57555,4724,49882,2049,33760,8932,42500,3802,50953,2381,56213,4655,69990,9131,29876,1557,14736,3681,22651,1952,27469,2020,43354,2927,51701,2385,
PUERTO RICO,18308,395,10347,771,14767,425,16979,343,24570,637,33911,2072,18350,494,10723,705,15487,341,19056,937,30133,1511,40068,4761,18259,507,8823,1103,12522,715,15659,405,22628,632,30446,1583,
